memberId,LAST_3_TRANSACTIONS_AVG_POINTS_BOUGHT,LAST_3_TRANSACTIONS_AVG_REVENUE_USD,DAYS_SINCE_LAST_TRANSACTION,AVG_POINTS_BOUGHT,AVG_REVENUE_USD,PCT_GIFT_TRANSACTIONS,PCT_REDEEM_TRANSACTIONS,PCT_BUY_TRANSACTIONS,ATS,RESP,OFFER
CC886BC4,8600.0,5.0588235294117645,1230,8600.0,5.0588235294117645,1.0,0.0,0.0,8600.0,0.012328570745926313,OFFER_1
98A3249A,1200.0,2.4,1086,1200.0,2.4,0.0,0.0,1.0,1200.0,0.008831646734130637,OFFER_1
BBB600FB,6000.0,11.666666666666666,1250,6000.0,11.666666666666666,0.5,0.0,0.5,6000.0,0.03264055422328803,OFFER_1
3FA2208B,700.0,3.5,2132,700.0,3.5,0.0,0.0,1.0,700.0,0.006563525550867324,OFFER_1
386245A5,4500.0,2.8088235294117645,625,4500.0,2.8088235294117645,0.5,0.0,0.5,4500.0,0.015704284908851715,OFFER_1
EA899A72,3100.0,4.428571428571429,1065,3100.0,4.428571428571429,1.0,0.0,0.0,3100.0,0.012463146609488072,OFFER_1
0E78F618,-3333.3333333333335,1.5490196078431373,2185,3372.7272727272725,16.937941779582648,0.36363636363636365,0.18181818181818182,0.45454545454545453,840.9641873278237,0.009743677029687666,OFFER_1
137242A0,-300.0,1.5185185185185184,2188,2020.0,3.0497076023391814,0.6,0.4,0.0,79.19999999999999,0.002710655884419439,OFFER_1
8DCEA411,-4466.666666666667,0.17647058823529413,1842,100.0,1.9647535127411286,0.3333333333333333,0.3333333333333333,0.3333333333333333,1032.2222222222222,0.0012894835695189807,OFFER_1
827191FF,7250.0,5.318627450980392,1975,7250.0,5.318627450980392,1.0,0.0,0.0,7250.0,0.008074839247439866,OFFER_1
691025E4,3633.3333333333335,7.333333333333333,1709,3633.3333333333335,7.333333333333333,0.6666666666666666,0.3333333333333333,0.0,1211.111111111111,0.012865497076023389,OFFER_1
50F988B1,1100.0,2.111111111111111,2199,1228.5714285714287,4.788095238095238,0.2857142857142857,0.2857142857142857,0.42857142857142855,487.95918367346934,0.004541620284477426,OFFER_1
77642236,5250.0,50.0,1647,5250.0,50.0,0.5,0.0,0.5,5250.0,0.1061893203883495,OFFER_2
F9832B8B,9750.0,54.388888888888886,1678,9750.0,54.388888888888886,0.5,0.0,0.5,9750.0,0.11337767189464627,OFFER_2
0EBE6836,2400.0,6.333333333333333,2196,2825.0,5.538461538461538,0.5,0.25,0.25,1263.75,0.009016082536792596,OFFER_1
