memberId,LAST_3_TRANSACTIONS_AVG_POINTS_BOUGHT,LAST_3_TRANSACTIONS_AVG_REVENUE_USD,DAYS_SINCE_LAST_TRANSACTION,AVG_POINTS_BOUGHT,AVG_REVENUE_USD,PCT_GIFT_TRANSACTIONS,PCT_REDEEM_TRANSACTIONS,PCT_BUY_TRANSACTIONS,ATS,RESP,OFFER
76F0942D,-433.3333333333333,3.576190476190476,532,2088.8888888888887,10.593553443587844,0.37037037037037035,0.2962962962962963,0.3333333333333333,131.7283950617284,0.035530952885614045,OFFER_1
B2B42190,-2666.6666666666665,1.9111111111111112,448,-2666.6666666666665,1.9111111111111112,0.3333333333333333,0.6666666666666666,0.0,0.0,0.01276911655530809,OFFER_1
28164DB9,3900.0,4.654761904761904,1324,3900.0,4.654761904761904,0.5,0.0,0.5,3900.0,0.012295597484276725,OFFER_1
284525AD,1366.6666666666667,3.3379629629629632,1291,75.0,2.5034722222222223,0.5,0.5,0.0,0.0,0.0071693863949088416,OFFER_1
634E89BA,666.6666666666666,2.733333333333333,642,2066.6666666666665,7.112896825396825,0.3333333333333333,0.25,0.4166666666666667,543.3333333333333,0.021505352205682685,OFFER_1
D2A0CA57,5500.0,6.935672514619884,453,2385.714285714286,4.147702670811915,0.5,0.2857142857142857,0.21428571428571427,1956.734693877551,0.04318245284243033,OFFER_1
5EEE0B55,300.0,1.9097222222222223,531,475.0,3.5010723039215685,0.125,0.375,0.5,88.125,0.015704784517973858,OFFER_1
21A144A2,400.0,5.083333333333333,476,400.0,5.083333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,133.33333333333331,0.035522944327975765,OFFER_1
137242A0,-300.0,1.5185185185185184,1432,2020.0,3.0497076023391814,0.6,0.4,0.0,79.19999999999999,0.004140701836004293,OFFER_1
1166073A,3166.6666666666665,9.766666666666667,462,2744.4444444444443,11.220634920634922,0.5555555555555556,0.3333333333333333,0.1111111111111111,1013.3333333333336,0.06855771538276938,OFFER_1
FBE7D522,1900.0,2.040277777777778,659,3366.6666666666665,5.265671211504545,0.4444444444444444,0.2222222222222222,0.3333333333333333,1299.9999999999998,0.015191392969170745,OFFER_1
835B9FED,-833.3333333333334,11.111111111111112,879,-833.3333333333334,11.111111111111112,0.0,0.6666666666666666,0.3333333333333333,0.0,0.04208754208754208,OFFER_1
E3B54487,4400.0,2.7962962962962963,718,3316.6666666666665,9.62037037037037,0.5,0.16666666666666666,0.3333333333333333,2716.6666666666665,0.022454884184137776,OFFER_1
9FDD53B1,-333.3333333333333,2.196969696969697,550,-333.3333333333333,2.196969696969697,0.0,0.3333333333333333,0.6666666666666666,111.1111111111111,0.014619883040935672,OFFER_1
BA621B28,-2700.0,0.2777777777777778,673,-2700.0,0.2777777777777778,0.0,0.5,0.5,0.0,0.0014424662050774811,OFFER_1
51C9DFA1,4733.333333333333,6.238095238095237,798,1485.7142857142858,3.9510667903525047,0.2857142857142857,0.2857142857142857,0.42857142857142855,1611.0204081632648,0.023824008741379934,OFFER_1
7F6688B6,4900.0,3.535885167464115,1372,4900.0,3.535885167464115,1.0,0.0,0.0,4900.0,0.0077258962144154016,OFFER_1
